# Custom reading data. Comments are ignored
# Format: kaki,yomi,tags (separated by +),lifetime (birth-death),notes
# 'm' and 'f' are supported as shorthand for masc/fem.

柳原 尚之,やなぎはら なおゆき,m,,Chef
齋藤 訓之,さいとう さとし,m,1964-,Food Watch Japan writer and editor
會田 悦久,あいだ　よしひさ,m,1977
小林 直之,こばやし なおゆき,m
小野辺 美智子,おのべ みちこ,f
長崎 七左衛門,ながさき しちえもん,m,1731-1820,Historical figure # kanji/kana not split in wikipedia
和田 三造,わだ さんぞう,m,1883-1967,Painter
亘洋,こうよう,m
真美,まさみ,f
真美,まさみ,f
由佳,よしか,f
厚子,あつこ,f
麻理佳,まりか,f
純子,じゅんこ,f
奏要,かなめ,f+dict
十市 新二郎,とおち しんじろう,m
十市,といち,s
澗泉,たにいずみ,m+dict,1933-2017 # correct kanji is actually 月 not 日
たに泉,たにいずみ,m,1933-2017
金原 明善,きんぱら　めいぜん,m,1832-1923
岩佐 大輝,いわさ ひろき,m,1977-,Businessman and author
亀浦 芳孝,かめうら　よしたか,m,,Reverend
萩原 遼,なぎわら　りょう,m,,Shamisen musician
本肝 魁,もとき かい,m,,Youtuber
中臣 鎌子,なかとみ かまこ,m,,Historical figure
小野 妹子,おの いもこ,m,,Historical figure
飛内 源一郎,とびない げんいちろう,m,,Ryokan owner
酒入 郁子,さかいり　いくこ,pseudo,,Author
佐藤 由起子,さとう　ゆきこ,pseudo,,Author
桜木 紀子,さくらぎ　のりこ,pseudo,,Author
中村 貴美子,なかむら　きみこ,pseudo,,Author
中村 寿子,なかむら　ひさこ,pseudo,,Author
中村 壽子,なかむら　ひさこ,pseudo,,Author # variant kanji
山田 あき子,やまだ　あきこ,pseudo,,Author
原 正彦,はら　まさひこ,m,,Author & doctor
出口 汪,でぐち　ひろし,m,1955-,Author & professor
平良　司,たいら　つかさ,m,1983-,TV Personality & Entrepreneur
小林　政能,こばやし　せいのう,m,1968-,Cartographer
金子 和令,かねこ　かずのり,m,1984-
柳原　克紀,やなぎはら　かつのり,m
岳志,たけし,m
龍昇,りゅうしょう,m
光凞,みつひろ,m+dict
光二,みつじ,m+dict
光泰,みつやす,m+dict
紀好,きよし,m+dict
大樹,だいき,m+dict
みさき,みさき,f+dict
昌奎,ちゃんきゅ,m+dict,#Chang Kyu
晋子,ゆきこ,f
晋子,くにこ,f+dict
究,きわむ,m
中野 究,なかの きわむ,m
世耕 石弘,せこう　いしひろ,m,1972
杉本 亮,すぎもと　りょう,m,1976
速水 亮,はやみ　りょう,m+pseudo,1949
加瀬 亮,かせ　りょう,m,1974
涼,りょう,f+pseudo,1973
田村 亮,たむら　りょう,m+pseudo,1946
渡辺 淳一,わたなべ じゅんいち,m,1933-2014
中原 淳一,なかはら じゅういち,m,1913-1983
好司,こうじ,m+dict
公亮,こうすけ,m,2001
公亮,こうすけ,m,1979
糀谷,こじだに,surname
田向 泰輝,たむかい たいき,m,1992
小林 正能,こばやし　せいのう,m,,Map researcher
佐々木 章光,ささき あきみつ,m
近見 哲平,ちかみ　てっぺい,m
梶原,かじわら,s
江田,えだ,surname
董,とう,surname
河本,こうもと,s
顗修,ぎしゅう,dict+m
新海,しんかい,surname
才ノ木,さいのき,surname
睦代,むつよ,f
末次,すえつぐ,s
未帆,みほ,f
大野,おおの,surname
水野,みずの,surname
萌,もえ,f
新保,しんぼ,surname
鹿毛,かげ,surname
侑毅,ゆうき,m
侑毅,ゆうき,m+dict
和樹,かずき,f
慶喜,よしのぶ,m,1837-1913
谷川 治恵,たにかわ　はるえ,f,1954-
音喜多 由梨香,おときた ゆりか,f,1985-,Politician
優花,ゆうか,f
知念,ちねん,s
満梨奈,まりな,f
石原,いしはら,surname
内堀,うちぼり,surname
七邊,ひちべ,surname
野元,のもと,surname
金児,かねこ,surname
後川,うしろかわ,surname
中島,なかしま,surname
大原,おおはら,surname
石黒,いしぐろ,surname
幸長,ゆきなが,surname+dict
小鳥遊,たかなし,surname+dict
不死川,しなずがわ,surname+dict
不死川,ふじがわ,surname+dict
兒玉,こだま,surname
篠崎,しのざき,surname
川合,かわい,surname
有澤,ありさわ,surname
糟谷,かすや,surname
木嶌,きじま,surname
上村,かみむら,surname
山谷,やまや,surname
大窪,おおくぼ,surname
奥津,おくつ,surname
坂部,さかべ,surname
押田,おしだ,surname
寺島,てらしま,surname
豊島,とよしま,surname
塩田,えんた,surname
稲津,いなつ,surname
迫田,さこだ,surname
水本,みずもと,surname
笠松,かさまつ,surname
有賀,ありが,surname
勝尾,かつお,surname
砂金,いさご,surname
青木,あおき,surname
海保,かいほ,surname
